sample_index,class0_sum,class1_sum,predicted_label
0,-2,-6,0
1,-25,26,1
2,-28,30,1
3,-18,18,1
4,30,-30,0
5,6,-7,0
6,0,4,1
7,23,-30,0
8,26,-25,0
9,-21,18,1
10,-10,11,1
11,-28,25,1
12,15,-15,0
13,13,-13,0
14,-16,13,1
15,-4,5,1
16,8,-3,0
17,15,-12,0
18,-30,30,1
19,29,-30,0
20,-2,2,1
21,1,1,0
22,4,-10,0
23,-8,5,1
24,17,-17,0
25,-10,11,1
26,16,-16,0
27,0,0,0
28,-7,7,1
29,30,-29,0
30,23,-21,0
31,30,-30,0
32,26,-17,0
33,11,-9,0
34,-13,11,1
35,-3,-3,0
36,30,-30,0
37,-22,24,1
38,-6,10,1
39,10,-17,0
40,0,5,1
41,30,-24,0
42,5,-1,0
43,27,-16,0
44,-25,16,1
45,-24,19,1
46,17,-18,0
47,-10,12,1
48,30,-30,0
49,30,-30,0
50,-14,16,1
51,-9,8,1
52,2,-4,0
53,8,-4,0
54,-30,30,1
55,-18,15,1
56,12,-7,0
57,4,-3,0
58,14,-14,0
59,19,-15,0
60,30,-30,0
61,30,-30,0
62,14,-10,0
63,-12,13,1
64,21,-19,0
65,30,-29,0
66,-17,27,1
67,-13,4,1
68,17,-7,0
69,-11,11,1
70,14,-16,0
71,30,-28,0
72,0,13,1
73,-27,28,1
74,-26,22,1
75,30,-27,0
76,-15,5,1
77,11,-11,0
78,25,-25,0
79,-23,19,1
80,-17,12,1
81,-1,4,1
82,-5,5,1
83,3,-5,0
84,-2,1,1
85,-10,-1,1
86,-3,2,1
87,-18,17,1
88,-16,10,1
89,-24,22,1
90,-30,27,1
91,30,-30,0
92,-26,28,1
93,1,-4,0
94,29,-27,0
95,11,-17,0
96,30,-30,0
97,1,0,0
98,5,-6,0
99,8,-15,0
100,19,-30,0
101,23,-22,0
102,27,-29,0
103,9,-14,0
104,-17,23,1
105,-30,29,1
106,10,-18,0
107,22,-26,0
108,5,-2,0
109,22,-24,0
110,9,-7,0
111,14,-9,0
112,6,-11,0
113,30,-30,0
114,-8,9,1
115,-3,-6,0
116,-3,6,1
117,-4,7,1
118,20,-23,0
119,26,-20,0
120,-28,28,1
121,30,-30,0
122,-9,14,1
123,25,-28,0
124,-28,23,1
125,4,-7,0
126,-4,5,1
127,18,-14,0
128,19,-20,0
129,6,1,0
130,30,-30,0
131,-13,12,1
132,-25,25,1
133,-5,-3,1
134,1,2,1
135,13,-9,0
136,-23,24,1
137,9,-5,0
138,30,-30,0
139,-29,30,1
140,30,-30,0
141,-7,7,1
142,11,-14,0
143,12,-11,0
144,-14,10,1
145,8,-6,0
146,29,-30,0
147,10,-12,0
148,10,-11,0
149,7,-4,0
150,-10,17,1
151,-4,7,1
152,5,-5,0
153,-6,3,1
154,7,-15,0
155,29,-28,0
156,19,-22,0
157,-22,29,1
158,30,-30,0
159,-4,2,1
160,1,-3,0
161,-3,-2,1
162,-6,4,1
163,30,-30,0
164,-15,23,1
165,-3,-3,0
166,-24,28,1
167,30,-30,0
168,11,-13,0
169,-8,9,1
170,-5,5,1
171,9,1,0
172,-14,15,1
173,-8,9,1
174,-2,11,1
175,-29,20,1
176,-9,4,1
177,30,-30,0
178,14,-23,0
179,-14,10,1
180,-19,20,1
181,8,-12,0
182,18,-19,0
183,28,-30,0
184,21,-23,0
185,0,-1,0
186,25,-22,0
187,22,-21,0
188,-3,-9,0
189,-30,30,1
190,14,-10,0
191,13,-10,0
192,3,1,0
193,0,1,1
194,20,-30,0
195,23,-23,0
196,-10,8,1
197,-8,6,1
198,16,-10,0
199,15,-13,0
200,10,-14,0
201,-27,21,1
202,-23,25,1
203,5,-11,0
204,-13,13,1
205,29,-29,0
206,-21,19,1
207,19,-30,0
208,17,-22,0
209,-21,25,1
210,23,-25,0
211,-12,10,1
212,4,-5,0
213,-8,4,1
214,-4,4,1
215,7,-5,0
216,-12,14,1
217,-21,20,1
218,-11,7,1
219,30,-30,0
220,14,-16,0
221,28,-25,0
222,-8,7,1
223,24,-23,0
224,3,-1,0
225,-4,3,1
226,2,-3,0
227,25,-25,0
228,10,-14,0
229,12,-12,0
230,20,-21,0
231,-12,7,1
232,-4,-5,0
233,12,-4,0
234,-18,13,1
235,-22,21,1
236,21,-25,0
237,-13,17,1
238,-14,3,1
239,19,-25,0
240,-19,19,1
241,-14,14,1
242,11,-6,0
243,-20,17,1
244,-16,13,1
245,5,-1,0
246,25,-28,0
247,-13,14,1
248,25,-30,0
249,-6,5,1
250,2,0,0
251,9,-14,0
252,4,-2,0
253,16,-14,0
254,18,-23,0
255,-1,3,1
256,12,-22,0
257,-25,29,1
258,-27,20,1
259,6,-6,0
260,10,-11,0
261,-17,18,1
262,3,-5,0
263,15,-20,0
264,-8,12,1
265,-27,23,1
266,1,10,1
267,15,-14,0
268,5,-9,0
269,-3,-2,1
270,30,-30,0
271,26,-24,0
272,27,-29,0
273,12,-13,0
274,-23,30,1
275,14,-10,0
276,-13,8,1
277,22,-24,0
278,30,-30,0
279,16,-24,0
280,-20,17,1
281,6,0,0
282,24,-27,0
283,-30,30,1
284,-26,26,1
285,-15,15,1
286,-11,6,1
287,-25,26,1
288,4,-8,0
289,-24,26,1
290,-21,23,1
291,30,-30,0
292,30,-30,0
293,-12,20,1
294,-3,-1,1
295,30,-30,0
296,27,-20,0
297,-26,24,1
298,-3,5,1
299,30,-28,0
300,30,-21,0
301,18,-19,0
302,27,-28,0
303,0,3,1
304,28,-30,0
305,-24,24,1
306,-10,7,1
307,14,-17,0
308,-23,19,1
309,30,-30,0
310,-30,25,1
311,6,-17,0
312,-5,5,1
313,-11,10,1
314,20,-21,0
315,11,-11,0
316,11,-8,0
317,28,-28,0
318,30,-27,0
319,16,-21,0
320,24,-24,0
321,17,-12,0
322,20,-21,0
323,30,-30,0
324,3,-5,0
325,-8,12,1
326,22,-22,0
327,25,-19,0
328,-19,14,1
329,19,-16,0
330,7,-14,0
331,-17,12,1
332,12,-15,0
333,21,-24,0
334,21,-21,0
335,0,3,1
336,30,-30,0
337,-22,25,1
338,-12,8,1
339,3,6,1
340,30,-30,0
341,7,-11,0
342,-1,-3,0
343,18,-10,0
344,-21,18,1
345,26,-22,0
346,19,-13,0
347,11,-21,0
348,-9,9,1
349,-25,23,1
350,-6,9,1
351,-7,8,1
352,-30,30,1
353,-3,-2,1
354,30,-30,0
355,14,-10,0
356,30,-30,0
357,22,-14,0
358,-14,12,1
359,-16,19,1
360,10,-2,0
361,9,-16,0
362,-21,10,1
363,-30,30,1
364,-12,14,1
365,-16,7,1
366,10,-12,0
367,-9,9,1
368,-5,6,1
369,-6,7,1
370,30,-30,0
371,1,5,1
372,-19,24,1
373,9,-10,0
374,-2,0,1
375,2,0,0
376,-25,25,1
377,8,-4,0
378,12,-13,0
379,22,-24,0
380,23,-27,0
381,-14,18,1
382,-10,4,1
383,-17,18,1
384,28,-21,0
385,-10,7,1
386,-4,2,1
387,30,-22,0
388,22,-25,0
389,30,-30,0
390,-24,27,1
391,-22,22,1
392,9,-21,0
393,19,-20,0
394,0,2,1
395,30,-30,0
396,8,-14,0
397,9,-13,0
398,-15,19,1
399,-15,13,1
400,-15,16,1
401,-3,10,1
402,28,-24,0
403,-23,19,1
404,-23,17,1
405,30,-30,0
406,-9,14,1
407,-6,-2,1
408,-9,7,1
409,6,-5,0
410,-3,-2,1
411,-7,15,1
412,14,-12,0
413,30,-30,0
414,-19,16,1
415,-29,24,1
416,4,5,1
417,-5,5,1
418,8,-8,0
419,5,-8,0
420,17,-21,0
421,27,-26,0
422,-5,5,1
423,11,-16,0
424,30,-30,0
425,-13,30,1
426,13,-14,0
427,29,-29,0
428,-3,2,1
429,12,-20,0
430,12,-1,0
431,18,-8,0
432,23,-28,0
433,-3,5,1
434,0,-1,0
435,30,-21,0
436,-1,-3,0
437,30,-30,0
438,18,-18,0
439,-5,4,1
440,-7,8,1
441,26,-25,0
442,-13,8,1
443,-24,29,1
444,5,-7,0
445,17,-13,0
446,8,-13,0
447,-16,15,1
448,30,-30,0
449,11,-11,0
450,-1,-4,0
451,-24,25,1
452,5,2,0
453,24,-19,0
454,-13,10,1
455,15,-18,0
456,30,-30,0
457,18,-16,0
458,30,-30,0
459,-13,14,1
460,18,-17,0
461,25,-29,0
462,-10,13,1
463,30,-30,0
464,12,-14,0
465,11,-16,0
466,7,-11,0
467,16,-9,0
468,1,-1,0
469,7,-13,0
470,30,-30,0
471,30,-28,0
472,-28,26,1
473,0,-6,0
474,13,-19,0
475,17,-23,0
476,30,-30,0
477,-22,24,1
478,28,-30,0
479,14,-14,0
480,-21,18,1
481,30,-30,0
482,-1,-4,0
483,24,-27,0
484,7,-13,0
485,-16,20,1
486,-27,30,1
487,-5,11,1
488,3,0,0
489,-22,20,1
490,-10,16,1
491,-10,8,1
492,-7,1,1
493,-3,1,1
494,-24,26,1
495,-27,24,1
496,-1,9,1
497,7,-9,0
498,30,-30,0
499,-8,6,1
500,7,-5,0
501,30,-30,0
502,23,-15,0
503,30,-30,0
504,-16,19,1
505,8,-3,0
506,17,-16,0
507,-7,2,1
508,5,1,0
509,29,-30,0
510,-3,-7,0
511,30,-30,0
512,30,-30,0
513,-7,10,1
514,15,-18,0
515,1,-5,0
516,-21,26,1
517,-22,14,1
518,2,-3,0
519,-25,26,1
520,5,-6,0
521,-9,2,1
522,-7,6,1
523,-4,-1,1
524,-18,16,1
525,30,-24,0
526,30,-27,0
527,7,-5,0
528,-21,23,1
529,26,-30,0
530,-30,29,1
531,-5,3,1
532,11,-11,0
533,-1,6,1
534,30,-30,0
535,30,-30,0
536,30,-29,0
537,30,-30,0
538,-27,24,1
539,-17,9,1
540,-24,24,1
541,-5,1,1
542,13,-16,0
543,30,-25,0
544,30,-30,0
545,-17,12,1
546,-25,22,1
547,17,-19,0
548,10,-15,0
549,-5,6,1
550,11,-14,0
551,8,-16,0
552,-27,25,1
553,16,-13,0
554,-4,1,1
555,-10,7,1
556,30,-30,0
557,21,-18,0
558,10,-13,0
559,30,-30,0
560,-20,17,1
561,30,-30,0
562,25,-30,0
563,30,-30,0
564,29,-24,0
565,0,0,0
566,-23,27,1
567,11,-10,0
568,-14,5,1
569,30,-30,0
570,16,-13,0
571,2,-2,0
572,-7,13,1
573,5,-10,0
574,3,-11,0
575,30,-30,0
576,-23,25,1
577,1,-6,0
578,16,-17,0
579,-6,6,1
580,26,-24,0
581,9,-6,0
582,4,-3,0
583,6,-6,0
584,-5,0,1
585,-7,9,1
586,28,-30,0
587,20,-20,0
588,-27,30,1
589,-5,7,1
590,10,-5,0
591,-30,30,1
592,30,-28,0
593,30,-30,0
594,-4,1,1
595,-7,2,1
596,20,-21,0
597,0,-6,0
598,22,-13,0
599,15,-15,0
600,4,3,0
601,-6,7,1
602,-17,25,1
603,30,-30,0
604,-16,17,1
605,30,-30,0
606,-14,13,1
607,25,-22,0
608,13,-15,0
609,-18,17,1
610,30,-27,0
611,-25,24,1
612,-23,27,1
613,-10,3,1
614,30,-30,0
615,15,-11,0
616,12,-15,0
617,13,-20,0
618,-2,2,1
619,-18,20,1
620,30,-30,0
621,8,-8,0
622,-20,18,1
623,-1,-1,0
624,24,-19,0
625,-22,15,1
626,-10,8,1
627,30,-30,0
628,30,-30,0
629,30,-30,0
630,12,-18,0
631,23,-24,0
632,16,-15,0
633,-2,9,1
634,30,-27,0
635,9,-13,0
636,-30,30,1
637,9,-8,0
638,-30,30,1
639,14,-14,0
640,24,-24,0
641,26,-30,0
642,-1,7,1
643,30,-27,0
644,2,-2,0
645,-22,18,1
646,30,-30,0
647,30,-30,0
648,24,-24,0
649,27,-30,0
650,26,-23,0
651,-7,9,1
652,-1,0,1
653,30,-21,0
654,-5,3,1
655,-16,14,1
656,-27,27,1
657,-8,5,1
658,30,-30,0
659,3,-8,0
660,-7,3,1
661,30,-24,0
662,25,-19,0
663,30,-30,0
664,18,-20,0
665,-19,20,1
666,1,-2,0
667,-20,15,1
668,-19,14,1
669,13,-18,0
670,30,-30,0
671,-4,2,1
672,18,-16,0
673,24,-20,0
674,20,-19,0
675,9,-6,0
676,30,-30,0
677,-8,4,1
678,12,-6,0
679,1,-5,0
680,-2,2,1
681,30,-30,0
682,3,-6,0
683,-8,3,1
684,-6,2,1
685,30,-30,0
686,1,-6,0
687,3,-3,0
688,30,-30,0
689,14,-11,0
690,27,-25,0
691,-4,-5,0
692,3,-5,0
693,12,-19,0
694,-22,15,1
695,29,-30,0
696,-27,23,1
697,30,-30,0
698,18,-24,0
699,30,-30,0
700,12,-12,0
701,4,-2,0
702,30,-30,0
703,12,-18,0
704,23,-16,0
705,30,-30,0
706,1,-3,0
707,16,-17,0
708,-20,21,1
709,-28,25,1
710,9,-10,0
711,-27,25,1
712,-17,19,1
713,9,-5,0
714,10,-12,0
715,7,-8,0
716,30,-30,0
717,-16,11,1
718,15,-23,0
719,-15,18,1
720,4,-8,0
721,-24,27,1
722,-20,17,1
723,-24,30,1
724,-15,7,1
725,-12,15,1
726,-1,4,1
727,15,-19,0
728,29,-26,0
729,9,-8,0
730,15,-13,0
731,-1,-6,0
732,13,-15,0
733,-10,1,1
734,6,-10,0
735,30,-30,0
736,-16,18,1
737,1,-9,0
738,0,0,0
739,13,-13,0
740,16,-21,0
741,16,-14,0
742,9,-15,0
743,5,-11,0
744,20,-15,0
745,30,-28,0
746,30,-30,0
747,28,-30,0
748,24,-21,0
749,30,-26,0
750,-21,26,1
751,-26,25,1
752,-5,4,1
753,-19,13,1
754,30,-30,0
755,30,-30,0
756,30,-30,0
757,-30,30,1
758,-2,3,1
759,-9,7,1
760,-8,8,1
761,20,-23,0
762,-8,6,1
763,-20,18,1
764,-19,20,1
765,30,-30,0
766,-3,5,1
767,-6,8,1
768,18,-30,0
769,-10,5,1
770,10,-5,0
771,-6,6,1
772,23,-20,0
773,30,-30,0
774,-18,10,1
