sample_index,class0_sum,class1_sum,predicted_label
0,30,-30,0
1,-30,30,1
2,-16,13,1
3,-28,22,1
4,30,-25,0
5,27,-30,0
6,13,-6,0
7,14,-16,0
8,30,-30,0
9,10,-14,0
10,-5,8,1
11,-7,10,1
12,9,-13,0
13,30,-30,0
14,-29,30,1
15,-9,11,1
16,7,-5,0
17,10,-13,0
18,-29,26,1
19,30,-23,0
20,2,-10,0
21,-11,4,1
22,30,-30,0
23,-17,16,1
24,26,-23,0
25,30,-30,0
26,26,-18,0
27,7,-8,0
28,-10,12,1
29,30,-27,0
30,26,-26,0
31,0,-2,0
32,9,-7,0
33,30,-30,0
34,-15,15,1
35,24,-18,0
36,30,-30,0
37,-8,-2,1
38,23,-28,0
39,19,-27,0
40,-14,12,1
41,27,-30,0
42,30,-27,0
43,19,-16,0
44,-18,10,1
45,-12,13,1
46,18,-24,0
47,26,-25,0
48,30,-30,0
49,30,-30,0
50,4,-1,0
51,14,-15,0
52,20,-15,0
53,30,-30,0
54,-24,25,1
55,-9,13,1
56,30,-30,0
57,-10,4,1
58,24,-30,0
59,18,-14,0
60,30,-30,0
61,5,-5,0
62,1,3,1
63,-9,7,1
64,25,-30,0
65,8,-20,0
66,-30,30,1
67,4,0,0
68,30,-30,0
69,16,-15,0
70,-16,11,1
71,7,-3,0
72,-17,15,1
73,-30,24,1
74,-13,14,1
75,18,-19,0
76,-22,19,1
77,25,-23,0
78,25,-25,0
79,-16,16,1
80,-30,30,1
81,-28,22,1
82,-30,27,1
83,26,-28,0
84,21,-23,0
85,18,-17,0
86,23,-23,0
87,-17,17,1
88,-14,15,1
89,-21,20,1
90,-30,30,1
91,23,-20,0
92,-22,21,1
93,11,-7,0
94,30,-30,0
95,30,-27,0
96,30,-30,0
97,-8,12,1
98,2,0,0
99,3,-4,0
100,30,-30,0
101,20,-24,0
102,23,-20,0
103,26,-30,0
104,-22,17,1
105,-26,22,1
106,-3,2,1
107,19,-27,0
108,-3,4,1
109,19,-21,0
110,30,-30,0
111,-3,6,1
112,-8,6,1
113,20,-23,0
114,-13,8,1
115,0,-6,0
116,-1,-5,0
117,22,-24,0
118,21,-17,0
119,15,-14,0
120,-13,20,1
121,1,0,0
122,-3,2,1
123,12,-11,0
124,-30,30,1
125,11,-2,0
126,-16,16,1
127,14,-14,0
128,18,1,0
129,4,-1,0
130,30,-30,0
131,-2,-1,1
132,-14,15,1
133,-20,23,1
134,2,-7,0
135,29,-30,0
136,15,-16,0
137,30,-30,0
138,30,-30,0
139,-19,18,1
140,28,-27,0
141,17,-26,0
142,-19,15,1
143,25,-30,0
144,-16,5,1
145,20,-24,0
146,30,-30,0
147,26,-30,0
148,25,-24,0
149,19,-18,0
150,-17,14,1
151,0,3,1
152,26,-13,0
153,-2,7,1
154,-12,14,1
155,20,-13,0
156,23,-21,0
157,-7,7,1
158,18,-14,0
159,11,-9,0
160,2,-4,0
161,-11,20,1
162,16,-13,0
163,18,-23,0
164,-24,19,1
165,-8,7,1
166,-27,21,1
167,11,-21,0
168,7,-4,0
169,2,7,1
170,9,-13,0
171,-9,10,1
172,-6,4,1
173,-6,19,1
174,-18,15,1
175,-20,16,1
176,19,-14,0
177,13,-17,0
178,16,-13,0
179,2,-7,0
180,3,-2,0
181,15,-16,0
182,30,-28,0
183,21,-17,0
184,-1,-3,0
185,-21,13,1
186,20,-27,0
187,22,-21,0
188,11,-12,0
189,-18,19,1
190,30,-30,0
191,-15,16,1
192,4,-6,0
193,-12,9,1
194,25,-24,0
195,30,-28,0
196,-29,30,1
197,9,-15,0
198,25,-28,0
199,-20,15,1
200,11,-9,0
201,-21,24,1
202,-30,30,1
203,-14,1,1
204,11,-4,0
205,15,-17,0
206,-7,6,1
207,15,-15,0
208,21,-21,0
209,12,-12,0
210,24,-30,0
211,-28,23,1
212,12,-8,0
213,16,-21,0
214,-15,11,1
215,4,-8,0
216,2,-6,0
217,-30,30,1
218,-21,26,1
219,19,-18,0
220,15,-16,0
221,28,-28,0
222,16,-21,0
223,30,-30,0
224,27,-29,0
225,-7,9,1
226,8,-14,0
227,21,-16,0
228,15,-27,0
229,21,-30,0
230,30,-30,0
231,-27,28,1
232,24,-17,0
233,-15,11,1
234,-19,17,1
235,-23,19,1
236,21,-27,0
237,-5,6,1
238,5,-5,0
239,30,-29,0
240,-20,10,1
241,-15,13,1
242,-17,17,1
243,2,0,0
244,17,-17,0
245,-11,11,1
246,-13,11,1
247,-30,23,1
248,2,-11,0
249,-19,15,1
250,26,-25,0
251,14,-20,0
252,8,-9,0
253,-17,14,1
254,20,-19,0
255,2,-3,0
256,26,-30,0
257,-28,25,1
258,-25,29,1
259,-19,14,1
260,3,-5,0
261,-22,14,1
262,-11,11,1
263,30,-28,0
264,-13,18,1
265,-26,19,1
266,30,-30,0
267,-9,-1,1
268,30,-30,0
269,16,-6,0
270,20,-13,0
271,27,-23,0
272,29,-29,0
273,28,-30,0
274,-26,18,1
275,7,-7,0
276,-27,22,1
277,30,-27,0
278,30,-24,0
279,23,-24,0
280,-28,20,1
281,-5,2,1
282,20,-22,0
283,-30,30,1
284,-17,11,1
285,0,1,1
286,-7,4,1
