sample_index,class0_sum,class1_sum,predicted_label
0,-2,-5,0
1,-30,27,1
2,5,-5,0
3,-7,12,1
4,6,-10,0
5,-3,5,1
6,-4,12,1
7,6,0,0
8,19,-11,0
9,-9,6,1
10,1,-10,0
11,-18,10,1
12,5,-12,0
13,4,-2,0
14,-11,14,1
15,1,1,0
16,10,-19,0
17,3,-6,0
18,-27,29,1
19,6,0,0
20,10,-7,0
21,-1,-1,0
22,20,-25,0
23,-12,12,1
24,3,5,1
25,6,3,0
26,0,-1,0
27,3,-5,0
28,-1,-2,0
29,15,-5,0
30,10,-10,0
31,0,-3,0
32,2,-8,0
33,14,-14,0
34,-9,10,1
35,14,-9,0
36,12,-9,0
37,-10,9,1
38,2,-4,0
39,13,-9,0
40,-5,7,1
41,14,-13,0
42,9,-14,0
43,6,-6,0
44,-26,18,1
45,-20,19,1
46,5,2,0
47,4,-10,0
48,16,-14,0
49,10,-9,0
50,5,2,0
51,-7,4,1
52,5,-9,0
53,13,-4,0
54,-16,15,1
55,5,0,0
56,10,-10,0
57,3,-1,0
58,12,-8,0
59,16,-14,0
60,5,-5,0
61,11,-7,0
62,-1,3,1
63,-2,4,1
64,3,-14,0
65,-1,-4,0
66,0,14,1
67,4,-7,0
68,14,-8,0
69,5,-7,0
70,1,2,1
71,3,-2,0
72,-16,11,1
73,-25,26,1
74,-19,22,1
75,12,-19,0
76,-14,14,1
77,7,0,0
78,10,-10,0
79,-21,19,1
80,-14,12,1
81,-27,19,1
82,-7,9,1
83,15,-17,0
84,12,-15,0
85,5,-6,0
86,13,-21,0
87,-1,5,1
88,-9,9,1
89,-20,18,1
90,-26,28,1
91,7,2,0
92,-12,2,1
93,1,0,0
94,10,-13,0
95,3,-10,0
96,12,-12,0
97,17,-15,0
98,6,-14,0
99,-3,4,1
100,10,-8,0
101,6,-5,0
102,5,2,0
103,14,-13,0
104,-13,13,1
105,-22,20,1
106,4,-3,0
107,-1,8,1
108,6,-8,0
109,13,-7,0
110,21,-9,0
111,17,-4,0
112,-2,-1,1
113,7,-4,0
114,2,7,1
115,2,-5,0
116,15,-12,0
117,10,-20,0
118,15,-17,0
119,-4,3,1
120,-6,10,1
121,4,-5,0
122,7,-4,0
123,6,-8,0
124,-15,21,1
125,8,-6,0
126,-2,-3,0
127,2,1,0
128,2,0,0
129,10,-6,0
130,16,-17,0
131,-10,21,1
132,-14,12,1
133,-13,17,1
134,3,0,0
135,28,-25,0
136,7,0,0
137,8,-9,0
138,9,-11,0
139,-10,5,1
140,8,-9,0
141,6,-6,0
