sample_index,class0_sum,class1_sum,class2_sum,class3_sum,class4_sum,class5_sum,class6_sum,class7_sum,class8_sum,class9_sum,predicted_label
0,-20,-20,-20,-20,-20,-20,-20,-8,-20,18,9
1,-4,-20,-3,-15,-8,-17,-15,-17,-20,-20,2
2,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
3,-20,13,-20,-7,-20,-20,-19,-20,-20,-20,1
4,-8,-18,-9,-12,-15,-20,-1,-20,-20,-20,6
5,-20,20,-20,-15,-20,-19,-20,-20,-20,-20,1
6,-11,-20,-12,-12,-16,-18,-12,-20,-19,-20,0
7,-16,-20,-18,-13,-10,-19,6,-20,-20,-17,6
8,-18,-18,-17,-17,-20,20,-16,-14,-20,-20,5
9,-20,-20,-20,-20,-20,-16,-10,19,-20,-20,7
10,-20,-20,1,-20,1,-20,-14,-20,-20,-20,2
11,-20,-17,-20,-20,-19,-2,-14,-5,-20,-14,5
12,-20,-19,-10,-18,-20,3,-20,-9,-17,-20,5
13,-20,-20,-18,17,-20,-20,-20,-20,-20,-20,3
14,-20,-20,-15,-20,-1,-20,-7,-20,-20,-20,4
15,-20,20,-19,-11,-19,-20,-16,-20,-20,-20,1
16,-15,-20,-17,-20,0,-20,-1,-20,-20,-20,4
17,-17,-18,-20,-13,-14,-14,2,-20,-20,-20,6
18,-15,-20,-19,-17,-19,-17,-16,-20,20,-20,8
19,5,-15,-1,-15,-17,-20,-17,-19,-8,-20,0
20,-12,-12,-2,-20,-4,-20,-4,-20,-20,-20,2
21,-20,-19,-20,-20,-19,3,-20,-5,-20,-20,5
22,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
23,-20,-20,-20,-20,-20,8,-20,-11,-20,-7,5
24,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
25,-20,-20,-16,-15,-15,-16,0,-20,-20,-20,6
26,-20,-20,-2,-20,3,-20,-9,-20,-20,-20,4
27,-18,-20,-13,-8,-20,-20,-20,-20,-20,-20,3
28,-20,-20,-20,-20,-20,-20,-20,-8,-20,12,9
29,-20,-20,-13,-14,5,-20,-16,-13,-20,-20,4
30,-17,-20,-19,-18,-15,-18,-15,-19,20,-20,8
31,-13,-11,-1,-3,-6,-14,-5,-15,13,-20,8
32,-10,-6,-16,2,-17,-20,-20,-20,-20,-15,3
33,-17,-20,-17,-9,-20,-20,-6,-20,-20,-20,6
34,-19,-20,-16,-20,-19,-20,-20,-20,20,-20,8
35,15,-20,-17,-20,-13,-20,0,-20,-15,-20,0
36,-20,-20,-20,-20,-20,-17,-20,20,-20,-20,7
37,-19,-11,-13,-14,-18,20,-13,-6,-16,-20,5
38,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
39,-20,-20,-20,-20,-20,-20,-20,-20,-20,20,9
40,10,-18,-20,-20,-17,-20,-17,-20,-20,-20,0
41,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
42,-20,-19,-14,-20,-14,-20,-15,-20,-20,-20,2
43,-20,-19,-20,-17,-20,-20,-19,-6,-20,9,9
44,-20,-20,-12,-20,13,-20,-19,-20,-20,-20,4
