sample_index,class0_sum,class1_sum,class2_sum,class3_sum,class4_sum,class5_sum,class6_sum,class7_sum,class8_sum,class9_sum,predicted_label
0,-20,-20,-20,-20,-20,-11,-20,-13,-20,5,9
1,-20,-20,20,-20,-20,-20,-18,-20,-20,-20,2
2,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
3,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
4,-16,-20,-16,-20,-14,-20,-4,-20,-20,-20,6
5,-11,17,-20,-13,-20,-20,-20,-20,-20,-20,1
6,-9,-18,2,-15,2,-10,-13,-17,-20,-20,2
7,-20,-20,-20,-20,-5,-20,8,-20,-20,-20,6
8,-13,-17,-20,-13,-20,6,-19,-10,-20,-20,5
9,-20,-18,-20,-20,-20,-19,-20,20,-20,-20,7
10,-20,-20,-12,-20,5,-20,-9,-20,-20,-20,4
11,-20,-20,-20,-19,-20,11,-20,-12,-20,-19,5
12,-15,-19,-20,-7,-20,6,-13,-6,-9,-20,5
13,-20,-20,-20,20,-20,-20,-20,-20,-20,-20,3
14,-20,-20,-14,-20,1,-20,-6,-20,-20,-20,4
15,-20,18,-20,-20,-20,-20,-20,-20,-20,-20,1
16,-20,-20,8,-20,-16,-19,-13,-19,-20,-20,2
17,-20,-20,-5,-20,-6,-20,-10,-20,-20,-20,2
18,-20,-19,-20,-20,-17,-20,-20,-18,20,-20,8
19,17,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
20,-8,-15,-4,-15,-15,-2,-10,-10,-11,-15,5
21,-20,-19,-20,-20,-20,-8,-20,8,-20,-20,7
22,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
23,-20,-20,-20,-20,-20,-7,-20,-5,-20,-18,7
24,-20,20,-20,-16,-20,-20,-20,-20,-20,-20,1
25,-20,-20,-1,-20,-16,-20,-12,-20,-20,-20,2
26,-20,-20,-20,-20,-6,-20,-4,-20,-20,-20,6
27,-5,-17,-20,-13,-20,-20,-20,-20,-20,-20,0
28,-20,-20,-20,-20,-20,-20,-20,-10,-20,9,9
