sample_index,class0_sum,class1_sum,predicted_label
0,1,-1,0
1,2,-2,0
2,10,-9,0
3,1,-2,0
4,-2,-2,0
5,10,-10,0
6,-1,-7,0
7,10,-7,0
8,0,-3,0
9,10,-10,0
10,5,-10,0
11,10,-10,0
12,5,-7,0
13,10,-10,0
14,-3,4,1
15,10,-6,0
16,8,-8,0
17,2,4,1
18,-5,0,1
19,6,-5,0
20,10,-10,0
21,10,-8,0
22,10,-10,0
23,1,-4,0
24,10,-4,0
25,10,-10,0
26,1,2,1
27,9,-10,0
28,10,-10,0
29,4,-10,0
30,10,-10,0
31,10,-10,0
32,10,-10,0
33,10,-10,0
34,10,-10,0
35,6,-1,0
36,10,-10,0
37,10,-10,0
38,10,-10,0
39,1,2,1
40,-1,-1,0
41,-1,2,1
42,9,-10,0
43,10,-10,0
44,10,-10,0
45,-2,2,1
46,1,-3,0
47,4,1,0
48,4,-7,0
49,10,-7,0
50,10,-10,0
51,10,-7,0
52,10,-10,0
53,10,-10,0
54,10,-10,0
55,-3,-1,1
56,6,-7,0
57,-1,-1,0
58,10,-6,0
59,10,-9,0
60,4,-3,0
61,2,-4,0
62,5,-6,0
63,10,-7,0
64,0,-4,0
65,8,-7,0
66,8,-9,0
67,5,1,0
68,10,-10,0
69,6,2,0
70,2,-4,0
71,7,-4,0
72,3,-10,0
73,9,-3,0
74,-4,-2,1
75,10,-7,0
76,10,-10,0
77,10,-6,0
78,10,-10,0
79,-10,8,1
80,10,-5,0
81,1,2,1
82,-1,6,1
83,-6,5,1
84,9,-6,0
85,4,-3,0
86,10,-10,0
87,10,-10,0
88,8,-3,0
89,9,-10,0
90,4,-5,0
91,0,-1,0
92,10,-10,0
93,2,-3,0
94,2,-1,0
95,5,-2,0
96,10,-10,0
97,1,2,1
98,4,-1,0
99,-1,3,1
100,6,-5,0
101,8,-10,0
102,1,2,1
103,1,0,0
104,6,-3,0
105,-3,3,1
106,4,5,1
107,-4,7,1
108,10,-10,0
109,10,-10,0
110,1,0,0
111,4,-1,0
112,9,-10,0
113,-3,5,1
114,5,-2,0
115,-8,4,1
116,10,-10,0
117,-1,6,1
118,5,-1,0
119,4,-10,0
120,10,-10,0
121,10,-8,0
122,-4,6,1
123,10,-10,0
124,0,2,1
125,9,-10,0
126,1,-2,0
127,1,-3,0
128,3,-6,0
129,3,1,0
130,10,-10,0
131,10,-10,0
132,4,-7,0
133,5,-6,0
134,6,0,0
135,-3,0,1
136,-2,-3,0
137,8,-6,0
138,1,2,1
139,7,-10,0
140,7,-10,0
141,-5,-5,0
142,0,0,0
143,2,0,0
144,2,2,0
145,-9,4,1
146,4,-8,0
147,7,-7,0
148,6,-7,0
149,6,-8,0
150,7,-6,0
151,10,-7,0
152,10,-10,0
153,8,-2,0
154,6,-10,0
155,5,-3,0
156,3,6,1
157,7,-10,0
158,10,-10,0
159,10,-6,0
160,3,-1,0
161,10,-10,0
162,7,-2,0
163,10,-10,0
164,10,-8,0
165,10,-8,0
166,5,-10,0
167,10,-10,0
168,1,1,0
169,1,0,0
170,-8,0,1
171,8,-4,0
172,10,-9,0
173,9,-10,0
174,6,-5,0
175,3,-1,0
176,-3,0,1
177,5,-8,0
178,10,-10,0
179,10,-10,0
180,4,-4,0
181,2,-4,0
182,10,-10,0
183,6,-7,0
184,-2,2,1
185,3,1,0
186,-2,2,1
187,7,-3,0
188,8,-10,0
189,10,-10,0
190,7,-8,0
191,7,-10,0
192,5,-8,0
193,3,0,0
194,9,-5,0
195,10,-7,0
196,10,-10,0
197,9,-10,0
198,1,0,0
199,10,-10,0
200,9,4,0
201,10,-10,0
202,6,-10,0
203,10,-10,0
204,-2,0,1
205,10,-10,0
206,10,-10,0
207,9,-7,0
208,3,-6,0
209,0,1,1
210,0,3,1
211,4,-2,0
212,7,-10,0
213,10,-10,0
214,-1,4,1
215,-6,1,1
216,10,-10,0
217,3,-1,0
218,8,-7,0
219,4,-6,0
220,-2,1,1
221,10,-10,0
222,10,-10,0
223,4,-10,0
224,8,-6,0
225,9,-10,0
226,10,-8,0
227,-3,2,1
228,7,2,0
229,7,-10,0
230,8,-7,0
231,10,-6,0
232,10,-4,0
233,1,-1,0
234,6,-1,0
235,9,-5,0
236,10,-8,0
237,5,6,1
238,10,-7,0
239,3,3,0
240,10,-10,0
241,4,0,0
242,10,-10,0
243,10,-7,0
244,10,-10,0
245,3,1,0
246,2,-3,0
247,10,-5,0
248,10,-10,0
249,1,2,1
250,0,1,1
251,5,0,0
252,3,-10,0
253,4,-4,0
254,10,-10,0
255,3,2,0
256,2,-2,0
257,5,-4,0
258,10,-8,0
259,3,-2,0
260,3,-1,0
261,10,-3,0
262,10,-8,0
263,3,1,0
264,10,-10,0
265,2,0,0
266,2,-4,0
267,4,-7,0
268,10,-10,0
269,3,2,0
270,7,-10,0
271,7,-1,0
272,1,4,1
273,3,-1,0
274,10,-10,0
275,10,-9,0
276,10,-5,0
277,2,0,0
278,6,-5,0
279,10,-10,0
280,6,-3,0
281,10,-8,0
282,10,-10,0
283,-1,-1,0
284,5,-6,0
285,0,-5,0
286,9,-4,0
287,-2,4,1
288,-1,1,1
289,-9,10,1
290,-1,-1,0
291,5,-8,0
292,10,-10,0
293,2,-1,0
294,7,-6,0
295,4,-4,0
296,2,1,0
297,3,2,0
298,4,-1,0
299,7,-6,0
300,10,-10,0
301,8,-5,0
302,3,-5,0
303,10,-10,0
304,-6,6,1
305,6,-7,0
306,7,-5,0
307,10,-6,0
308,3,0,0
309,10,-10,0
310,4,-6,0
311,10,-10,0
312,-4,-1,1
313,-5,-5,0
314,2,0,0
315,6,-6,0
316,-2,-3,0
317,-3,5,1
318,10,-10,0
319,10,-9,0
320,4,0,0
321,10,-10,0
322,-1,-1,0
323,7,-3,0
324,3,2,0
325,9,-10,0
326,-2,-4,0
327,0,-2,0
328,1,1,0
329,10,-10,0
330,1,-1,0
331,10,-10,0
332,5,-2,0
333,-3,0,1
334,3,-3,0
335,2,-5,0
336,-1,-3,0
337,10,-10,0
338,2,3,1
339,6,-8,0
340,8,-5,0
341,3,-4,0
342,10,-8,0
343,3,1,0
344,10,-10,0
345,0,-10,0
346,-2,10,1
347,4,-3,0
348,4,-4,0
349,9,-10,0
350,9,-6,0
351,4,-6,0
352,10,-6,0
353,-7,2,1
354,5,-9,0
355,2,-4,0
356,4,0,0
357,-3,3,1
358,9,-3,0
359,-2,1,1
360,0,-2,0
361,4,-7,0
362,9,-8,0
363,2,0,0
364,10,-10,0
365,-1,-3,0
366,-3,6,1
367,5,-7,0
368,10,-10,0
369,-2,9,1
370,2,-1,0
371,7,-2,0
372,5,-6,0
373,10,-8,0
374,-5,-1,1
375,9,-10,0
376,10,-6,0
377,10,-8,0
378,10,-10,0
379,10,-10,0
380,10,-10,0
381,10,-6,0
382,3,-10,0
383,2,-1,0
384,5,-10,0
385,9,-3,0
386,10,-10,0
387,10,-10,0
388,10,-7,0
389,1,0,0
390,10,-10,0
391,5,-1,0
392,4,0,0
393,10,-8,0
394,1,0,0
395,5,-3,0
396,10,-10,0
397,10,-10,0
398,0,-3,0
399,2,-4,0
400,10,-10,0
401,5,2,0
402,9,-10,0
403,10,-10,0
404,6,-8,0
405,-1,3,1
406,0,0,0
407,0,-3,0
408,0,5,1
409,8,-10,0
410,5,-6,0
411,2,-2,0
412,3,-6,0
413,1,3,1
414,9,-10,0
415,0,-5,0
416,7,-2,0
417,7,-7,0
418,7,-10,0
419,10,-10,0
420,10,-10,0
421,-2,6,1
422,4,-6,0
423,1,-3,0
424,8,-10,0
425,10,-10,0
426,5,-7,0
427,1,-3,0
428,5,-7,0
429,6,-2,0
430,6,-7,0
431,2,-5,0
432,1,1,0
433,9,-10,0
434,10,-10,0
435,10,-10,0
436,-4,2,1
437,10,-10,0
438,0,-2,0
439,10,-3,0
440,10,-10,0
441,5,-9,0
442,8,-10,0
443,-1,0,1
444,2,1,0
445,7,-1,0
446,7,-5,0
447,4,-9,0
448,2,-2,0
449,6,-3,0
450,10,-10,0
451,-1,1,1
452,-2,-6,0
453,-2,2,1
454,8,-10,0
455,5,2,0
456,4,-6,0
457,2,-4,0
458,10,-5,0
459,1,0,0
460,10,-10,0
461,10,-10,0
462,-2,0,1
463,-1,-1,0
464,10,-10,0
465,6,-10,0
466,7,-7,0
467,2,6,1
468,10,-10,0
469,9,-5,0
470,-2,4,1
471,10,-10,0
472,5,-1,0
473,10,-10,0
474,10,-10,0
475,0,-6,0
476,10,-10,0
477,2,0,0
478,5,-5,0
479,-3,1,1
480,8,-10,0
481,-5,1,1
482,6,-4,0
483,10,-7,0
484,10,-4,0
485,3,-2,0
486,10,-10,0
487,2,0,0
488,7,-3,0
489,9,-10,0
490,10,-10,0
491,10,-10,0
492,10,-9,0
493,6,-9,0
494,10,-10,0
495,-3,1,1
496,9,-10,0
497,10,-10,0
498,-5,1,1
499,-3,6,1
500,10,-10,0
501,5,-2,0
502,10,-2,0
503,-5,4,1
504,10,-10,0
505,3,5,1
506,10,-10,0
507,1,0,0
508,3,-1,0
509,2,0,0
510,10,-10,0
511,10,-10,0
512,10,-7,0
513,-1,2,1
514,3,-6,0
515,10,-10,0
516,-2,-2,0
517,1,-3,0
518,10,-10,0
519,9,-10,0
520,7,-7,0
521,10,-6,0
522,2,-3,0
523,8,-7,0
524,4,2,0
525,4,-7,0
526,8,-10,0
527,10,-6,0
528,-1,-1,0
529,-2,-1,1
530,10,-6,0
531,7,-4,0
532,10,-10,0
533,-1,2,1
534,6,-8,0
535,-5,5,1
536,8,-4,0
537,-1,-3,0
538,5,-4,0
539,8,-8,0
540,2,0,0
541,8,-4,0
542,10,-4,0
543,10,-10,0
544,0,2,1
545,9,-9,0
546,7,-8,0
547,10,-10,0
548,-3,4,1
549,2,2,0
550,10,-10,0
551,-4,-2,1
552,-2,5,1
553,-2,0,1
554,10,-9,0
555,10,-10,0
556,4,-10,0
557,-4,6,1
558,10,-10,0
559,0,4,1
560,7,-8,0
561,5,-3,0
562,-5,4,1
563,10,-10,0
