sample_index,class0_sum,class1_sum,predicted_label
0,10,-10,0
1,-6,-2,1
2,8,-8,0
3,7,3,0
4,8,0,0
5,10,-6,0
6,8,-10,0
7,-4,-5,0
8,4,-3,0
9,10,-6,0
10,10,-7,0
11,9,-7,0
12,7,3,0
13,5,-10,0
14,5,-4,0
15,10,-10,0
16,4,-1,0
17,6,-3,0
18,3,-1,0
19,10,-6,0
20,10,-10,0
21,9,-10,0
22,10,-10,0
23,6,-2,0
24,10,7,0
25,10,-10,0
26,4,-1,0
27,6,-4,0
28,9,-10,0
29,7,-10,0
30,9,-9,0
31,4,-7,0
32,10,-1,0
33,9,-8,0
34,10,-10,0
35,8,-3,0
36,7,-9,0
37,9,-9,0
38,3,-10,0
39,10,-4,0
40,9,-1,0
41,-3,2,1
42,10,3,0
43,5,-2,0
44,10,-6,0
45,4,-2,0
46,7,-8,0
47,10,0,0
48,10,-10,0
49,5,-5,0
50,1,-6,0
51,10,-10,0
52,0,1,1
53,4,-8,0
54,7,-10,0
55,7,-6,0
56,10,-10,0
57,9,-5,0
58,10,-6,0
59,10,-10,0
60,7,0,0
61,4,-3,0
62,10,-10,0
63,5,-10,0
64,-2,-2,0
65,10,-9,0
66,0,0,0
67,10,-10,0
68,10,-6,0
69,7,-3,0
70,0,-1,0
71,-5,-2,1
72,1,-5,0
73,4,-6,0
74,6,-8,0
75,10,-5,0
76,7,-7,0
77,-1,-6,0
78,8,-10,0
79,1,4,1
80,6,-10,0
81,10,-7,0
82,9,-1,0
83,0,-6,0
84,9,-10,0
85,8,-10,0
86,10,-7,0
87,10,-10,0
88,10,-5,0
89,8,-2,0
90,7,3,0
91,-4,-2,1
92,10,-6,0
93,4,-10,0
94,4,5,1
95,6,-4,0
96,10,-10,0
97,7,-9,0
98,6,-10,0
99,9,-9,0
100,8,-10,0
101,7,-8,0
102,10,-3,0
103,10,-10,0
104,10,1,0
105,7,-10,0
106,10,-10,0
107,10,-10,0
108,8,-10,0
109,10,-8,0
110,5,4,0
111,6,0,0
112,10,-1,0
113,4,-9,0
114,10,-10,0
115,4,-4,0
116,9,-10,0
117,10,-10,0
118,10,-10,0
119,2,-10,0
120,10,-10,0
121,6,-10,0
122,3,7,1
123,6,4,0
124,4,-6,0
125,7,-5,0
126,6,-2,0
127,7,-9,0
128,10,-9,0
129,4,0,0
130,10,-10,0
131,2,-10,0
132,1,-10,0
133,7,-10,0
134,8,-2,0
135,7,-9,0
136,3,-1,0
137,10,1,0
138,10,-1,0
139,6,-1,0
140,-2,-2,0
141,10,-7,0
142,8,-4,0
143,5,-9,0
144,3,-10,0
145,6,-10,0
146,-1,-3,0
147,10,-10,0
148,10,-9,0
149,6,-3,0
150,10,-6,0
151,6,1,0
152,6,-10,0
153,10,-10,0
154,10,-10,0
155,10,-10,0
156,10,-7,0
157,10,-8,0
158,8,-7,0
159,10,-10,0
160,10,-10,0
161,5,-10,0
162,10,-10,0
163,10,-10,0
164,10,2,0
165,8,-5,0
166,6,-8,0
167,5,-10,0
168,10,-8,0
169,10,-10,0
170,10,-8,0
171,10,-10,0
172,7,-8,0
173,10,-10,0
174,-6,2,1
175,10,3,0
176,3,-6,0
177,6,1,0
178,9,-7,0
179,10,-10,0
180,2,-2,0
181,10,-6,0
182,10,-10,0
183,10,-9,0
184,4,0,0
185,6,-8,0
186,-4,-6,0
187,10,-10,0
188,2,-3,0
189,0,-9,0
190,9,-8,0
191,4,-3,0
192,9,-5,0
193,10,-10,0
194,5,-2,0
195,1,-10,0
196,7,-9,0
197,10,-10,0
198,6,0,0
199,10,-8,0
200,-6,-7,0
201,10,-10,0
202,5,-6,0
203,10,0,0
204,-1,-5,0
205,10,-8,0
206,10,-10,0
207,3,-3,0
208,10,-10,0
209,7,2,0
210,3,2,0
211,5,-8,0
212,10,-10,0
213,6,-10,0
214,9,-4,0
215,5,-10,0
216,10,-8,0
217,10,-4,0
218,10,-10,0
219,2,1,0
220,6,-8,0
221,7,-8,0
222,10,-10,0
223,5,-6,0
224,10,-1,0
225,9,-7,0
226,10,-10,0
227,8,-6,0
228,3,-6,0
229,10,-3,0
230,6,-9,0
231,3,-10,0
232,9,-2,0
233,3,-10,0
234,9,-5,0
235,0,-5,0
236,10,-10,0
237,10,-10,0
238,0,-2,0
239,5,-10,0
240,3,-1,0
241,6,-5,0
242,3,-10,0
243,4,-6,0
244,10,4,0
245,1,-4,0
246,4,1,0
247,10,-10,0
248,10,-9,0
249,0,-7,0
250,3,0,0
251,3,-8,0
252,10,-4,0
253,9,-8,0
254,10,-10,0
255,3,-2,0
256,10,-8,0
257,0,-2,0
258,-2,-6,0
259,10,-10,0
260,4,-2,0
261,1,-2,0
262,8,-10,0
263,10,3,0
264,10,-2,0
265,10,-10,0
266,1,1,0
267,10,-10,0
268,6,-10,0
269,10,0,0
270,9,-2,0
271,2,-4,0
272,5,-3,0
273,1,1,0
274,7,-10,0
275,10,-10,0
276,10,-10,0
277,8,-1,0
278,3,-10,0
279,8,-10,0
280,6,-4,0
281,6,-10,0
282,10,-9,0
283,2,-5,0
284,10,-2,0
285,5,-3,0
286,10,1,0
287,9,-10,0
288,6,-3,0
289,1,-4,0
290,1,0,0
291,7,-3,0
292,10,-10,0
