sample_index,class0_sum,class1_sum,predicted_label
0,29,-21,0
1,5,-23,0
2,25,-27,0
3,-5,0,1
4,20,-15,0
5,24,-26,0
6,30,-30,0
7,13,-21,0
8,14,-27,0
9,30,-29,0
10,16,-26,0
11,27,-24,0
12,8,-11,0
13,27,-23,0
14,-5,-15,0
15,30,-30,0
16,26,-19,0
17,9,-5,0
18,20,-11,0
19,20,-10,0
20,30,-30,0
21,25,-29,0
22,30,-30,0
23,9,-9,0
24,24,-20,0
25,16,-22,0
26,4,-6,0
27,12,-14,0
28,26,-25,0
29,18,-23,0
30,14,-16,0
31,9,-17,0
32,22,-19,0
33,30,-30,0
34,24,-30,0
35,16,-25,0
36,30,-29,0
37,16,-28,0
38,23,-23,0
39,14,-2,0
40,23,-15,0
41,18,-5,0
42,4,-12,0
43,23,-18,0
44,20,-24,0
45,16,-4,0
46,16,-11,0
47,12,-6,0
48,30,-25,0
49,4,-11,0
50,16,-24,0
51,16,-16,0
52,8,-8,0
53,17,-12,0
54,30,-24,0
55,11,-25,0
56,30,-29,0
57,16,-8,0
58,19,-19,0
59,30,-29,0
60,16,-12,0
61,2,-11,0
62,30,-30,0
63,26,-13,0
64,-4,-5,0
65,27,-30,0
66,15,1,0
67,30,-30,0
68,30,-22,0
69,23,-17,0
70,14,-10,0
71,8,9,1
72,23,-12,0
73,15,-4,0
74,15,-10,0
75,21,-26,0
76,26,-23,0
77,12,-15,0
78,30,-30,0
79,3,-16,0
80,30,-30,0
81,23,-27,0
82,16,-16,0
83,6,4,0
84,28,-15,0
85,30,-12,0
86,27,-27,0
87,30,-30,0
88,19,-20,0
89,30,-30,0
90,22,-7,0
91,1,-4,0
92,27,-14,0
93,24,-16,0
94,15,-25,0
95,10,-4,0
96,30,-30,0
97,20,-7,0
98,25,-25,0
99,30,-27,0
100,19,-18,0
101,15,-17,0
102,26,-30,0
103,27,-21,0
104,14,-25,0
105,17,-30,0
106,30,-24,0
107,29,-16,0
108,23,-30,0
109,22,-30,0
110,30,-8,0
111,14,-13,0
112,30,-30,0
113,3,3,0
114,30,-30,0
115,11,-2,0
116,22,-30,0
117,30,-30,0
118,30,-30,0
119,11,-26,0
120,23,-11,0
121,6,-25,0
122,4,-1,0
123,11,-7,0
124,16,-16,0
125,26,-30,0
126,5,-12,0
127,30,-12,0
128,11,-17,0
129,-5,-10,0
130,30,-25,0
131,15,-28,0
132,28,-29,0
133,14,-21,0
134,10,-24,0
135,26,-27,0
136,7,-19,0
137,21,-22,0
138,30,-26,0
139,14,-30,0
140,8,0,0
141,19,-23,0
142,15,-15,0
143,21,-21,0
144,25,-8,0
145,19,-21,0
146,16,-14,0
147,30,-30,0
148,24,-30,0
149,14,-27,0
150,15,-23,0
151,3,-2,0
152,27,-25,0
153,30,-30,0
154,19,-29,0
155,30,-28,0
156,9,-9,0
157,30,-30,0
158,30,-19,0
159,30,-14,0
160,30,-19,0
161,30,-26,0
162,19,-30,0
163,30,-30,0
164,14,-21,0
165,3,-15,0
166,14,-9,0
167,24,-18,0
168,30,-22,0
169,30,-30,0
170,21,-17,0
171,30,-24,0
172,20,-3,0
