sample_index,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,predicted_label
0,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
1,-20,-20,20,-20,-20,-20,-20,-20,-20,-20,2
2,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
3,18,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
4,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,4
5,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
6,-20,-20,-20,-20,-2,-20,-20,-20,-20,-18,4
7,-20,-20,-18,-20,-12,-20,-20,-20,-20,-8,9
8,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,5
9,-20,-20,-20,-18,-20,-20,-20,-8,-20,-7,9
10,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
11,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,6
12,-20,-20,-20,-20,-20,-20,-20,-16,-20,8,9
13,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
14,-20,10,-20,-20,-18,-20,-20,-20,-20,-20,1
15,-20,-20,-20,-8,-20,9,-20,-20,-20,-20,5
16,-20,-20,-20,-20,-20,-20,-20,-20,-20,8,9
17,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
18,-17,-20,-11,-18,-20,-14,-20,-18,-20,-20,2
19,-20,-20,-20,-20,12,-20,-20,-16,-20,-20,4
20,-20,-20,-20,-20,-20,-20,-20,-15,-20,1,9
21,-20,-20,-20,-20,-20,-17,7,-20,-20,-20,6
22,-20,-20,-20,-20,-13,-20,20,-20,-20,-20,6
23,-20,-20,-19,-18,-20,6,-14,-20,-20,-20,5
24,-20,-20,-20,-20,-1,-20,-20,-20,-20,-20,4
25,7,-20,-20,-20,-20,-20,-20,-20,-14,-20,0
26,-20,-20,-20,-20,-20,-20,-20,14,-20,-20,7
27,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,4
28,20,-20,-20,-20,-17,-20,-20,-20,-20,-20,0
29,-20,19,-20,-20,-20,-20,-20,-20,-20,-20,1
30,-20,-20,-20,10,-20,-20,-20,-20,-20,-20,3
31,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
32,-20,-20,-20,15,-20,-20,-20,-20,-20,-20,3
33,-15,-16,-14,-20,5,-20,-20,-20,-20,-20,4
34,-20,-20,-20,-20,-20,-20,-20,18,-20,-20,7
35,-20,-20,20,-20,-20,-20,-20,-20,-20,-20,2
36,-20,-20,-20,-20,-20,-20,-20,5,-20,-20,7
37,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
38,-20,-20,13,-17,-20,-20,-20,-20,-20,-20,2
39,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
