sample_index,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,predicted_label
0,-10,-10,-10,-10,-10,-10,-10,10,-10,-10,7
1,-10,-10,10,-10,-10,-10,-10,-10,-10,-10,2
2,-10,10,-10,-10,-10,-10,-10,-10,-10,-10,1
3,10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0
4,-10,-10,-10,-10,10,-10,-10,-10,-10,-10,4
5,-10,10,-10,-10,-10,-10,-10,-10,-10,-10,1
6,-10,-10,-10,-10,-3,-10,-10,-10,-10,-10,4
7,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0
8,-10,-10,-10,-10,-10,10,-10,-10,-10,-10,5
9,-10,-10,-10,-10,-10,-10,-10,-10,-10,-6,9
10,8,-10,-10,-10,-10,-10,-10,-10,-10,-10,0
11,-10,-10,-10,-10,-10,-10,10,-10,-10,-10,6
12,-10,-10,-10,-10,-10,-10,-10,-10,-10,3,9
13,10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0
14,-10,3,-10,-10,-10,-10,-10,-10,-10,-10,1
15,-10,-10,-10,-10,-10,5,-10,-10,-10,-10,5
16,-10,-10,-10,-10,-10,-10,-10,-10,-10,3,9
17,-10,-10,-10,-10,-10,-10,-10,10,-10,-10,7
18,-9,-10,-10,-10,-10,-10,-10,-10,-10,-10,0
19,-10,-10,-10,-10,5,-10,-10,-8,-10,-10,4
20,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,9
21,-10,-10,-10,-10,-10,-10,2,-10,-10,-10,6
22,-10,-10,-10,-10,-7,-10,10,-10,-10,-10,6
23,-10,-10,-10,-10,-10,2,-10,-10,-10,-10,5
24,-10,-10,-10,-10,5,-10,-10,-10,-10,-10,4
25,5,-10,-10,-10,-10,-10,-10,-10,-10,-10,0
26,-10,-10,-10,-10,-10,-10,-10,5,-10,-10,7
27,-10,-10,-10,-10,10,-10,-10,-10,-10,-10,4
28,10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0
29,-10,8,-10,-10,-10,-10,-10,-10,-10,-10,1
30,-10,-10,-10,3,-10,-10,-10,-10,-10,-10,3
31,-10,10,-10,-10,-10,-10,-10,-10,-10,-10,1
32,-10,-10,-10,10,-10,-10,-10,-10,-10,-10,3
33,-10,-10,-10,-10,8,-10,-10,-10,-10,-10,4
34,-10,-10,-10,-10,-10,-10,-10,5,-10,-10,7
35,-10,-10,10,-10,-10,-10,-10,-10,-10,-10,2
36,-10,-10,-10,-10,-10,-10,-10,1,-10,-10,7
37,-10,10,-10,-10,-10,-10,-10,-10,-10,-10,1
38,-10,-10,9,-10,-10,-10,-10,-10,-10,-10,2
39,-10,10,-10,-10,-10,-10,-10,-10,-10,-10,1
40,-10,10,-10,-10,-10,-10,-10,-10,-10,-10,1
41,-10,-10,3,-10,-10,-10,-10,-8,-10,-10,2
42,-10,-10,-10,-10,10,-10,-10,-10,-10,-10,4
43,-10,-10,3,-10,-9,-10,-10,-10,-10,-10,2
44,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0
45,-10,-10,-10,-10,-10,2,-10,-10,-10,-10,5
46,-10,8,-10,-10,-10,-10,-10,-10,-10,-10,1
47,-10,-10,10,-10,-10,-10,-10,-10,-10,-10,2
48,-10,-10,-10,-10,0,-10,-10,-10,-10,-10,4
49,-10,-10,-10,-10,10,-10,-10,-10,-10,-10,4
50,-10,-10,-10,-10,-10,-10,10,-10,-10,-10,6
51,-10,-10,-10,10,-10,-10,-10,-10,-10,-10,3
52,-10,-10,-10,-10,-10,2,-10,-10,-10,-10,5
53,-10,-10,-10,-10,-10,4,-10,-10,-10,-10,5
54,-10,-10,-10,-10,-10,-10,10,-10,-10,-10,6
55,10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0
56,-10,-10,-10,-10,10,-10,-10,-10,-10,-10,4
57,-10,10,-10,-10,-10,-10,-10,-10,-10,-10,1
58,-10,-10,-10,-10,-10,-10,-10,-10,-10,10,9
59,-10,-10,-10,-10,-10,0,-10,-10,-8,-10,5
60,-10,-10,-10,-10,-10,-10,-10,10,-10,-10,7
61,-10,-10,-10,-8,-10,-10,-10,-10,-9,-10,3
62,-10,-10,-10,-10,-10,-10,-10,-10,-10,-9,9
63,-10,-10,-4,-3,-10,-10,-10,-10,-10,-10,3
64,-10,-10,-10,-10,-10,-10,-10,7,-10,-10,7
65,-10,-7,-10,-10,4,-10,-10,-10,-10,-10,4
66,-5,-10,-10,-10,-10,-10,7,-10,-10,-10,6
67,-10,-10,-10,-10,-1,-10,-10,-10,-10,-10,4
68,-10,-10,-10,7,-10,-10,-10,-10,-10,-10,3
69,10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0
70,-10,-10,-10,-10,-10,-10,-10,10,-10,-10,7
71,10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0
72,-10,-10,7,-10,-10,-10,-10,-10,-10,-10,2
73,-10,-10,-10,-10,-10,-10,-10,-10,-6,-5,9
74,-10,10,-10,-10,-10,-10,-10,-10,-10,-10,1
75,-10,-10,-10,-10,-9,-10,-10,1,-10,-10,7
76,-10,-10,-10,6,-10,-10,-10,-10,-10,-10,3
77,-10,-10,3,-10,-10,-10,-10,-10,-10,-10,2
78,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,9
79,-10,-10,-10,-10,-10,-10,-10,7,-10,-10,7
80,-10,-10,-10,-10,-10,-10,-10,-7,-10,-10,7
81,-10,-10,-10,-10,-10,-10,10,-10,-10,-10,6
82,-10,-10,10,-10,-10,-10,-10,-10,-10,-10,2
83,-10,-10,-10,-10,-10,-10,-10,10,-10,-10,7
84,-10,-10,-10,-10,-10,-10,-5,-10,2,-10,8
85,-10,-10,-10,-10,8,-10,-10,-10,-10,-10,4
86,-10,-10,-10,-10,-10,-10,-10,5,-10,-10,7
87,-10,-10,-10,-1,-10,-10,-10,-10,-10,-10,3
88,-10,-10,-10,-10,-10,-10,10,-10,-10,-10,6
89,-10,4,-10,-10,-10,-10,-10,-10,-10,-10,1
90,-10,-10,-10,-2,-10,-10,-10,-10,-10,-10,3
91,-10,-10,-10,-10,-10,-10,10,-10,-10,-10,6
92,-10,-10,-10,-10,-9,-10,-10,-10,-10,-10,4
93,-10,-10,-10,-2,-10,-10,-10,-10,-10,-10,3
94,-10,8,-10,-10,-10,-10,-10,-10,-10,-10,1
95,-10,-10,-10,-10,-1,-10,-8,-10,-10,-10,4
96,-10,7,-10,-10,-10,-10,-10,-10,-10,-10,1
97,-10,-10,-10,-10,-10,-10,-10,4,-9,-10,7
98,-10,-10,-10,-10,-10,-10,7,-10,-10,-10,6
99,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,9
100,-10,-10,-10,-10,-10,-10,10,-10,-10,-10,6
101,10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0
102,-10,-10,-10,-10,-10,5,-10,-10,-10,-10,5
103,-10,-10,-10,-10,10,-10,-10,-10,-10,-10,4
104,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,9
105,-10,-10,-10,-10,-10,-10,-10,-10,-10,10,9
106,-10,-10,10,-10,-10,-10,-10,-10,-10,-10,2
107,-10,8,-10,-10,-10,-10,-10,-10,-10,-10,1
108,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,9
109,-10,-10,-10,-10,0,-10,-5,-10,-10,-10,4
110,-10,-10,-10,-10,-10,-10,-10,-10,10,-10,8
111,-10,-10,-10,-10,-10,-10,-10,3,-10,-10,7
112,-10,-10,-10,-1,-10,-10,-10,-10,-10,-10,3
113,-10,-10,-10,-10,-10,-10,-10,-10,-10,5,9
114,-10,-10,-4,-10,-10,-10,-10,-8,-10,-10,2
115,-10,-10,-10,-10,-5,-10,-10,-10,-10,-10,4
116,-10,-10,-10,-10,10,-10,-10,-10,-10,-10,4
117,-10,-10,-10,-10,10,-10,-10,-10,-10,-10,4
118,-10,-10,-10,-10,-10,-10,-10,-10,-10,5,9
119,-10,-10,-2,-10,-10,-10,-10,-8,-10,-7,2
120,-10,-10,-10,-10,-10,9,-10,-10,-10,-10,5
121,-10,-10,-10,-10,-4,-10,-10,-10,-10,-10,4
122,-10,-10,-10,-10,-10,-10,-10,2,-10,-10,7
123,-10,-10,-10,-10,-10,-10,10,-10,-10,-10,6
124,-10,-10,-10,-10,-10,-10,-10,10,-10,-10,7
125,-10,-10,-10,-10,-10,-10,-10,-10,-10,-5,9
126,3,-10,-9,-10,-10,-10,-10,-10,-10,-10,0
127,-10,-10,-10,-10,-10,5,-10,-10,-10,-10,5
128,-10,-10,-10,-10,-10,-10,-10,-10,5,-10,8
129,-10,-10,-10,-10,-10,10,-10,-10,-10,-10,5
130,-10,-10,-10,-10,-10,-10,9,-10,-10,-10,6
131,-10,-10,-10,-10,-10,-10,4,-10,-10,-10,6
132,-10,-10,-10,-10,-10,3,-10,-10,-9,-10,5
