Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
-20,-20,-20,-20,-20,-20,-20,20,-20,-20
-18,-20,7,-11,-20,-17,-15,-20,-16,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,10,-20,-20,-20,-20,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,1,-20,-20,-20,-20,-20
-20,-20,-20,-20,-13,-13,-20,-20,-18,-5
-20,-20,-20,-20,-20,-7,-15,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,-2
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,3,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,8
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,18,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-18,-20,-6,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,6
-20,-20,-20,-20,-20,-20,-20,20,-20,-20
-20,-20,-11,-11,-20,-17,-20,-20,-19,-20
-20,-20,-20,-20,13,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,5
-20,-20,-20,-20,-20,-20,20,-20,-20,-20
-20,-20,-20,-20,-19,-20,13,-20,-20,-20
-20,-20,-20,-20,-20,6,-20,-20,-20,-20
-20,-20,-20,-20,6,-20,-20,-20,-20,-20
11,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,10,-20,-20
-20,-20,-20,-20,11,-20,-20,-20,-20,-20
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,12,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,5,-20,-20,-20,-20,-20,-16
-20,11,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,9,-20,-20,-20,-20,-20,-20
-7,-20,-20,-20,-12,-18,-17,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,13,-20,-20
-20,-20,10,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,12,-20,-20
-20,18,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-13,-20,-20,-20,-20,-20,-20,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,15,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,18,-20,-20
-20,-20,-20,-20,10,-20,-20,-20,-20,-20
-20,-18,3,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-3,-20,-20,-20,-20,-20,-20
-20,-20,-20,-18,-20,-3,-20,-20,-20,-20
-20,-11,-20,-17,-20,-20,-20,-20,-20,-20
-20,-20,6,-20,-20,-20,-17,-20,-20,-20
-20,-20,-20,-20,10,-20,-20,-20,-20,-18
-20,-20,-20,-20,6,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,20,-20,-20,-20
-20,-20,-20,-2,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,3,-20,-20,-20,-20
-20,-20,-20,-15,-20,-9,-20,-20,-20,-20
-20,-20,-10,-18,-20,-20,6,-20,-13,-20
16,-20,-20,-20,-20,-20,-20,-20,-14,-20
-20,-20,-20,-20,12,-20,-20,-20,-20,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,-5
-20,-20,-20,-20,-16,-1,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,6,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-16,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,-5
-20,-20,-8,-16,-20,-20,-20,-20,-20,-20
-20,-20,-16,-20,-20,-20,-20,-4,-19,-12
-20,-20,-20,-20,-1,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-7,-20,-20,-20
-20,-20,-20,-20,9,-20,-20,-20,-20,-20
-20,-20,-20,12,-20,-20,-20,-20,-20,-20
20,-20,-20,-20,-20,-15,-20,-20,-20,-20
-20,-20,-20,-18,-20,-20,-20,13,-20,-20
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-14,-20,9,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-17,-12,-15
-20,14,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,3,-20,-20
-20,-20,-20,7,-20,-20,-20,-20,-20,-20
-20,-20,-1,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-18,-7
-20,-20,-20,-20,-20,-20,-20,10,-20,-20
-20,-20,-20,-20,-20,-20,-20,2,-20,-10
-20,-20,-20,-20,-20,-20,20,-20,-20,-20
-20,-20,20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,19,-20,-20
-20,-20,-20,-20,-20,-19,-20,-20,-6,-20
-20,-20,-20,-20,7,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,20,-20,-20
-20,-20,-20,-4,-20,-16,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,19,-20,-20,-20
-20,19,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,12,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,20,-20,-20,-20
-20,-20,-20,-20,-17,-20,-20,-20,-20,-12
-20,-20,-20,3,-20,-20,-20,-20,-20,-20
-20,9,-20,-20,-20,-20,-20,-20,-14,-20
-20,-20,-20,-20,-8,-20,-20,-20,-20,-20
-20,4,-20,-20,-20,-20,-20,-20,-20,-20
-20,-17,-4,-8,-17,-19,-20,-9,-10,-16
-20,-20,-20,-20,-20,-20,11,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,4
-20,-20,-20,-20,-20,-20,18,-20,-20,-20
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-19,-20,4,-20,-20,-20,-15
-20,-20,-20,-20,2,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,0
-20,-20,-20,-20,-20,-20,-20,-20,-20,9
